Element ID,Object ID,Object Metadata ID,Metadata Column,Metadata Value,Table Name,Field Name,Description,Enum Class,UOM,Question Order,SES Class,SES_Alt1,SES_Alt2,SES_Alt3
310,4,,,,SETTLE,SINTERACT,How frequently do most residents interact with government officials,41,,B4d,GS3,,,
311,4,,,,SETTLE,SINCOME,How do residents derive most of their basic income,42,,C1,U2,,,
312,,,311,Other (describe),SETTLE,SINCOTH,Other source of income,,,C1,,,,
313,4,,,,SETTLE,SCONSUME,How many months/year do residents consume their own crops,43,,C1a,U8,U2,,
314,4,,,,SETTLE,SECONACT,Describe residents' economic activities and forest dependence,,,C1b,U8,,,
315,4,,,,SETTLE,SETHNIC1,Most predominant ethnic groups/caste of settlement,,,C2,U6,,,
316,,,315,,SETTLE,SPERCENT1,Percentage of settlement,,,C2,,,,
317,4,,,,SETTLE,SETHNIC2,Second most predominant ethnic groups/caste of settlement,,,C2,U6,,,
318,,,317,,SETTLE,SPERCENT2,Percentage of settlement,,,C2,,,,
319,4,,,,SETTLE,SETHNIC3,Third most predominant ethnic groups/caste of settlement,,,C2,U6,,,
320,,,319,,SETTLE,SPERCENT3,Percentage of settlement,,,C2,,,,
321,4,,,,SETTLE,SSOILS,Describe the dominant soil within the settlement,,,D1,RS5,,,
322,4,,,,SETTLE,SVEGTYPE,What is the vegetation around the settlement,,,D2,RS6,,,
323,,,322,,SETTLE,SVEGDESC,"If no appropriate veg-type code in manual, enter further information",,,D2a,,,,
324,4,,,,SETTLE,SVARY,Are there large variations in slope and vegetation around the settlement,4,,D3,RS6,,,
325,4,,,,SETTLE,STOPOGRAPH,Describe the topography of the area around the settlement.,,,D4,RU5,,,
326,4,,,,SETTLE,SELEVATION,What is the average elevation above sea level (m)?,,meters,D5,U4,,,
327,4,,,,SETTLE,SDISTRIBUT,Is the settlement nucleated or dispersed,44,,D6,U1,,,
328,,,327,Other (describe type),SETTLE,SDISTOTH,Describe settlement not nuclear or dispersed,,,D6,,,,
334,4,,,,SETTLE,SRESOURCE_,Other settlement-owned resources near settlement and used regularly,45,,D8,RU3,,,
335,,,334,,SETTLE,SRESIRRIG,Specify type of irrigation,,,D8,,,,
336,,,334,Other (describe),SETTLE,SRESOTH,Other resource type,,,D8,,,,
337,4,,,,SETTLE,SORGREG,Do any local orgs exist that regulate the use of these other resources,4,,D9,GS5,,,
338,,,337,,SETTLE,SORGDESC,"If organizations exist to regulate other resource, specify the organizations that have interset in the other resources",,,D9a,,,,
329,,41,,,FOREST,FNAME,Name of Forest,,,SUB,,,,
330,41,,,,SETTOFOR,LRESIDENTS,Number of residents,,,SUB,U1,,,
331,41,,,,SETTOFOR,LDISTANCE,Distance,,kilometers,SUB,U4,,,
332,41,,,,SETTOFOR,LTRAVELDRY,Travel Dry,,minutes,SUB,U4,,,
333,41,,,,SETTOFOR,LTRAVELWET,Travel Wet,,minutes,SUB,U4,,,
352,,5,,,USERGRP,UNAME,UserGroup Name,,,TOP,,,,
353,,5,,,USERGRP,ID,Settlement Name(s),,,TOP,,,,
354,,5,,,USERGRP,ID,Forest Name(s),,,TOP,,,,
355,,5,,,USERGRP,UCODED,Previously Coded?,3,,TOP,,,,
356,5,,,,USERGRP,UDESCRIBE,Briefly describe this user group,,,A1,U6,,,
357,5,,,,USERGRP,UYEAR,When was the user group formed?,,,A2,U3,,,
358,5,,,,USERGRP,UREASON1,What was the most important reason for forming this user group?,46,,A3,U3,,,
359,,,358,Other (describe),USERGRP,UREAS1OTH,Other reason for user group formation,,,A3,,,,
360,5,,,,USERGRP,UREASON2,What was the second most important reason for forming this user group?,46,,A3a,U3,,,
361,,,360,Other (describe),USERGRP,UREAS2OTH,Other second most  important reason for user group formation,,,A3a,,,,
362,5,,,,USERGRP,USTRUCTURE,Is the group's present structure the way it was in the beginning?,4,,A4,U5,,,
363,5,,,,USERGRP,UHOWCHANGE,How has the user group changed over time?,,,A5,U3,O1,,
364,5,,,,USERGRP,UHISTCHNG,Have there been any major changes in the user group since the last visit?,,,B0,O1,,,
365,5,,,,USERGRP,UNATURE,What is the nature of the user group?,47,,B1,U5,,,
366,,,365,Other (describe),USERGRP,UNATUREOTH,Describe (other) nature of the user group:,,,B1,,,,
367,5,,,,USERGRP,UINDNUM,How many individuals in the user group?,,,B2,U1,,,
368,5,,,,USERGRP,UINDFEMALE,How many female adult/children individuals?,,,B2a,U1,,,
369,5,,,,USERGRP,UCHILDFEM,How many children in the user group are female?,,,B2b,U1,,,
370,5,,,,USERGRP,UINDMALE,How many individuals in the user group (including adults and children) are male?,,,B2c,U1,,,
371,5,,,,USERGRP,UCHILDMALE,How many children in the user group are male?,,,B2d,U1,,,
372,5,,,,USERGRP,UHHNUM,What is the number of households in this group?,,,B3,U1,,,
373,5,,,,USERGRP,UHHFEMALE,How many women-headed households in this group?,,,B3a,U5,U6,,
374,5,,,,USERGRP,UHARVIN,Frequency of cooperative harvesting within the forest?,48,,B4,I1,,,
375,5,,,,USERGRP,UHARVOUT,Frequency of cooperative harvesting outside the forest?,48,,B4,O3,I1,,
376,5,,,,USERGRP,UPROCIN,Frequency of cooperative processing within the forest?,48,,B4,I1,,,
377,5,,,,USERGRP,UPROCOUT,Frequency of cooperative processing outside the forest?,48,,B4,O3,I1,,
378,5,,,,USERGRP,UMKTIN,Frequency of cooperative marketing within the forest?,48,,B4,I1,,,
379,5,,,,USERGRP,UMKTOUT,Frequency of cooperative marketing outside the forest?,48,,B4,O3,I1,,
380,5,,,,USERGRP,UCONTRIN,Frequency of financial contracts within the forest?,48,,B4,I5,,,
381,5,,,,USERGRP,UCONTROUT,Frequency of financial contracts outside the forest?,48,,B4,O3,I5,,
382,5,,,,USERGRP,USANCTIN,Frequency of monitoring/sanctioning within the forest?,48,,B4,GS8,O1,,
383,5,,,,USERGRP,USANCTOUT,Frequency of monitoring/sanctioning outside the forest?,48,,B4,O3,GS8,O1,
384,5,,,,USERGRP,UMAINTIN,Frequency of maintenance within the forest?,48,,B4,RS4,,,
385,5,,,,USERGRP,UMAINTOUT,Frequency of maintenance outside the forest?,48,,B4,O3,RS4,,
386,5,,,,USERGRP,UHHOUT,How many households have usergrp members working outide settlement?,,,C1,U2,U8,,
387,5,,,,USERGRP,UINDOUT,How many individuals in this user group work outside settlement? ,,,C2,U2,U8,,
388,,,387,,USERGRP,UINDOUTFEM,How many of these individuals are women?,,,C2a,,,,
389,5,,,,USERGRP,UINDOUTFUL,How many individuals in full-time jobs outside settlement?,,,C3,U2,U8,,
390,5,,,,USERGRP,UINDOUTLOC,Number of individuals who work full-time outside but live locally,,,C4,U2,U8,,
391,5,,,,USERGRP,URECASST,Do users receive assistance from non-residents?,11,,C5,U2,U8,,
392,5,,,,USERGRP,UINDREMIT,Do non-residents send remittance to their relatives?,11,,C5a,U2,U8,,
393,5,,,,USERGRP,UINDJOBS,Do non-residents help people find jobs?,11,,C5b,U2,U6,,
394,5,,,,USERGRP,UINDAGR,Do non-residents help people to procure agricultural inputs?,11,,C5c,U2,U6,,
395,5,,,,USERGRP,UINDHELP,Do non-residents help relatives when they visit?,11,,C5d,U2,U6,,
396,5,,,,USERGRP,UINDOTH,Do non-residents help using other means?,11,,C5e,U2,U6,,
397,,,396,Yes,USERGRP,UINDDESC,Description of how non-residents help,,,C5e1,,,,
404,5,,,,USERGRP,UANTOPWHY,Why is top ranked animal seen as most important?,,,D2,RU4,,,
405,5,,,,USERGRP,UINDANOWN,Number of individuals who own livestock,,,D3,RU5,,,
406,5,,,,USERGRP,UGRAZEOUT,Do other grazing areas exist outside the forest?,4,,D4,O3,,,
407,5,,,,USERGRP,UAGPLOTCOM,Availability of communally owned agricultural plots used for grazing,50,,D4a,RU7,U6,,
408,5,,,,USERGRP,UAGPLOTPRIV,Availability of privately owned agricultural plots used for grazing,50,,D4b,RU7,,,
409,5,,,,USERGRP,UPASTURECOM,Availability of common pasture lands used for grazing,50,,D4c,RU7,U6,,
410,5,,,,USERGRP,UPASTUREPRIV,Availability of private pasture lands used for grazing,50,,D4d,RU7,,,
411,5,,,,USERGRP,UFORAGE,Availability of public land used for grazing,50,,D4e,RU7,U6,,
412,5,,,,USERGRP,USTOVES,Adopted more efficient wood burning stoves,4,,E1,U9,,,
413,5,,,,USERGRP,UCOOKERS,Used pressure cookers,4,,E1,U9,,,
414,5,,,,USERGRP,UNEWTECH,Adopted technology that reduced need for forest products,4,,E1,U9,,,
415,,,414,,USERGRP,UTECHDESC,Description of technologies adopted,,,E1,,,,
416,5,,,,USERGRP,ULEADER,Has any individual in the group acted as a leader,4,,E2,U5,,,
417,,,416,Yes,USERGRP,ULEADERACT,"If yes, describe activities undertaken by this individual",,,E2a,,,,
427,5,,,,USERGRP,UDEFWEALTH,How do individuals in user group define wealth,,,F4,U2,U6,,
428,5,,,,USERGRP,UDEFPOV,How do individuals in user group define poverty,,,F5,U2,U6,,
429,5,,,,USERGRP,UWEALTHDIF,Is there a great difference in wealth among households,4,,F6,U2,O1,,
430,,,429,Yes,USERGRP,UWLTHDESC,"If yes, describe the differences in wealth",,,F6a,,,,
431,5,,,,USERGRP,UHHWEALTHY,Number of households regarded as being wealthy,,,F6b,U2,U1,,
432,5,,,,USERGRP,UHHPOOR,Number of households regarded as being poor,,,F6c,U2,U1,,
433,5,,,,USERGRP,UINDLIT,Number of individuals who are literate,,,F7,U6,U1,,
434,5,,,,USERGRP,UPRIMEDU,Number of individuals who have passed primary school,,,F8,U6,U1,,
435,5,,,,USERGRP,USECEDU,Number of individuals who have passed high school,,,F9,U6,U1,,
436,5,,,,USERGRP,UCOLLEDU,Number of individuals who are college educated,,,F10,U6,U1,,
437,5,,,,USERGRP,UOCCDESC,Describe occupational structure,,,F11,U2,O1,,
438,5,,,,USERGRP,UOCCCOMB,Describe the most common combinations of occupations,,,F12,O1,U2,U5,
439,5,,,,USERGRP,UHHOWNLAND,Number of households owning agricultural land,,,F13,U2,GS4,,
440,5,,,,USERGRP,UDEFGENDER,"Local definition of ""to own."" Comment on gender of ownership",,,F13a,GS4,,,
441,5,,,,USERGRP,UHHINSUFF,Number of households owning land not sufficient for subsistence,,,F14,U2,O1,,
442,5,,,,USERGRP,UHHEATCROP,Number of months most households consume their own crops,43,,F15,U8,,,
443,5,,,,USERGRP,UHHSURPLUS,Number of households who have surplus food,,,F16,U2,O1,,
444,,,443,,USERGRP,UHHSURPRIM,Primary type of surplus food,51,,F16a,,,,
445,5,,,,USERGRP,UHHSELLGRN,Number of households that sell food grain,,,F16b,U2,U5,,
446,5,,,,USERGRP,UHOUSE1,What is the most frequent kind of house lived in by User Group,52,,F17,RS4,,,
447,5,,,,USERGRP,UHOUSE2,What is the second most frequent kind of house lived in by User Group,53,,F17a,RS4,,,
448,5,,,,USERGRP,UHOUSE3,What is the third most frequent kind of house lived in by User Group,53,,F17b,RS4,,,
449,5,,,,USERGRP,UHOUSEOTH,Other kind of house lived in by User Group,,,F17c,RS4,,,
450,5,,,,USERGRP,UFUELCOOK,What is the cooking fuel most used by this user group,54,,F18,U9,,,
451,5,,,,USERGRP,UCONFLICT,Conflict within the user group during the last two years,11,,F19,I4,,,
452,,,451,,USERGRP,UCONFDESC,Describe the nature of the conflict within this user group,,,F19a,,,,
453,5,,,,USERGRP,UCONFLEVL,Change in level of conflict during the past year,55,,F19b,I4,,,
454,5,,,,USERGRP,UEFFECT,Effect of the level of conflict during the past year,56,,F19c,I4,O1,,
398,,51,,,U_ANIMAL,U_ANTYPE,Type of Animal,49,,SUB,,,,
399,51,,,,U_ANIMAL,U_ANNUM,Number of animals owned by the user group,,,SUB,RU5,,,
400,51,,,,U_ANIMAL,U_ANRANK,Importance of animal to user group (ranking),,,SUB,RU4,,,
401,51,,,,U_ANIMAL,U_ANGRAZE,Number of animals owned by user group that graze in the forest,,,SUB,RU3,,,
402,51,,,,U_ANIMAL,U_ANFODDER,How many are enclosed in an area but are fed fodder that is cut inside the forest(s),,,SUB,RU3,,,
419,,52,,,U_SES,U_GRPNAME,Ethnic Group Name,,,SUB,,,,
420,52,,,,U_SES,U_GRPNUM,Number of individuals,,,SUB,U1,,,
422,,53,,,U_SES,U_GRPNAME,Religion Name,,,SUB,,,,
423,53,,,,U_SES,U_GRPNUM,Number of individuals,,,SUB,U1,,,
425,,54,,,U_SES,U_GRPNAME,Caste or other user group name,,,SUB,,,,
426,54,,,,U_SES,U_GRPNUM,Number of individuals,,,SUB,U1,,,
468,,6,,,ASSOC,ANAME,Association Name,,,TOP,,,,
469,,6,,,ASSOC,ID,User Group Name(s),,,TOP,,,,
470,,6,,,ASSOC,AFED,Association Type,57,,TOP,,,,
471,,6,,,ASSOC,AFEDGRPS,Name(s) of component forest association(s),,,TOP,,,,
472,,6,,,ASSOC,ALEADNAME,Association Leader,,,TOP,,,,
473,,6,,,ASSOC,ID,Forest Name(s),,,TOP,,,,
474,,6,,,ASSOC,ACODED,Previously coded?,3,,TOP,,,,
475,6,,,,ASSOC,AEXISTENCE,How did the association come into being?,,,A1,U3,,,
476,6,,,,ASSOC,AINITWHO_,Who initiated the initial formation,58,,A2,U3,,,
477,,,476,Other (describe),ASSOC,AINITOTH,Other initiator of forest association ,,,A2,,,,
478,,6,,,ASSOC,AYEAR,What year did the assoc form?,,,A3,,,,
479,6,,,,ASSOC,ALEGFORM,Did the assoc obtain legal status when formed?,4,,A3a,GS7,,,
480,6,,,,ASSOC,ALEGSINCE,Did the assoc obtain legal status after formed?,11,,A3b,GS7,,,
481,,,480,Yes,ASSOC,ALEGYEAR,"If legal status obtained after formation, what year did it receive it?",,,A3b1,,,,
482,,6,,,ASSOC,ASTRUCT,How many years has assoc had present structure/process?,,,A4,,,,
483,6,,,,ASSOC,ACHANGES,What changes in character and rules have occured?,,,A5,O1,,,
484,,6,,,ASSOC,AHISTORY,Is the assoc history recorded,4,,A6,,,,
485,,6,,,ASSOC,AHISTDESC,"If the association history is recorded, how",,,A6a,,,,
486,6,,,,ASSOC,AHISTCHNG,What are the major changes in the assoc since last visit,,,B0,O1,,,
487,6,,,,ASSOC,ASEEDS1_,Planted seeds during past year,59,,B1,I5,,,
488,6,,,,ASSOC,ASEEDS5_,Planted seeds during five years prior to past year,59,,B1,I5,,,
489,6,,,,ASSOC,AMAINT1_,Maintenance during past year,59,,B1,I5,RS4,,
490,6,,,,ASSOC,AMAINT5_,Maintenance during five years prior to past year,59,,B1,I5,RS4,,
491,6,,,,ASSOC,AHARVEST1_,Harvest forest products during past year,59,,B1,I1,,,
492,6,,,,ASSOC,AHARVEST5_,Harvested forest products during five years prior to past year,59,,B1,I1,,,
493,6,,,,ASSOC,ADIST1_,Distributed products to local users during past year,59,,B1,O1,,,
494,6,,,,ASSOC,ADIST5_,Distributed products to local users during five years prior to past year,59,,B1,O1,,,
495,6,,,,ASSOC,ASELL1_,Sold forest products during past year,59,,B1,O1,,,
496,6,,,,ASSOC,ASELL5_,Sold forest products during five years prior to past year,59,,B1,O1,,,
497,6,,,,ASSOC,AREVENUE1_,Distribute revenue from forest products sale during past year,59,,B1,O1,S1,,
498,6,,,,ASSOC,AREVENUE5_,Distribute revenue from forest products sale during five years prior to past year,59,,B1,O1,S1,,
499,6,,,,ASSOC,ATIMING1_,Determined time of harvest during past year,59,,B1,I1,,,
500,6,,,,ASSOC,ATIMING5_,Determined time of harvest during five years prior to past year,59,,B1,I1,,,
501,6,,,,ASSOC,AQUANT1_,Determined quantity harvested during past year,59,,B1,I1,,,
502,6,,,,ASSOC,AQUANT5_,Determined quantity harvested during five years prior to past year,59,,B1,I1,,,
503,6,,,,ASSOC,ATYPTECH1_,Determined type of technology for harvest during past year,59,,B1,U9,,,
504,6,,,,ASSOC,ATYPTECH5_,Determined type of technology for harvest during five years prior to past year,59,,B1,U9,,,
505,6,,,,ASSOC,AWHOAUTH1_,Determined who authorized to harvest during past year,59,,B1,I1,,,
506,6,,,,ASSOC,AWHOAUTH5_,Determined who authorized to harvest during five years prior to past year,59,,B1,I1,,,
507,6,,,,ASSOC,ATYPEUSE1_,Determined use of products during past year,59,,B1,I1,,,
508,6,,,,ASSOC,ATYPEUSE5_,Determined use of products during five years prior to past year,59,,B1,I1,,,
509,6,,,,ASSOC,ARIGHTS1_,Sold or traded rights to harvest during past year,59,,B1,GS4,I5,,
510,6,,,,ASSOC,ARIGHTS5_,Sold or traded rights to harvest during five years prior to past year,59,,B1,GS4,I5,,
511,6,,,,ASSOC,ARENT1_,Rented non-transferable rights to harvest during past year,59,,B1,GS4,I5,,
512,6,,,,ASSOC,ARENT5_,Rented non-transferable rights to harvest during five years prior to past year,59,,B1,GS4,I5,,
513,6,,,,ASSOC,AMONCOND1_,Monitored forest conditions during past year,59,,B1,GS8,O1,,
514,6,,,,ASSOC,AMONCOND5_,Monitored forest conditions during five years prior to past year,59,,B1,GS8,O1,,
515,6,,,,ASSOC,AMONRULE1_,Monitored conformance to rules during past year,59,,B1,GS8,O1,,
516,6,,,,ASSOC,AMONRULE5_,Monitored conformance to rules during five years prior to past year,59,,B1,GS8,O1,,
517,6,,,,ASSOC,ASANCT1_,Sanctioned rule breakers during past year,59,,B1,GS8,O1,,
518,6,,,,ASSOC,ASANCT5_,Sanctioned rule breakers during five years prior to past year,59,,B1,GS8,O1,,
519,6,,,,ASSOC,ADISPUTE1_,Arbitraded disputes among users during past year,59,,B1,I4,,,
520,6,,,,ASSOC,ADISPUTE5_,Arbitraded disputes among users during five years prior to past year,59,,B1,I4,,,
521,6,,,,ASSOC,AINTER1_,Interacted with higher authority during past year,59,,B1,U5,GS3,,
522,6,,,,ASSOC,AINTER5_,Interacted with higher authority during five years prior to past year,59,,B1,U5,GS3,,
523,6,,,,ASSOC,AKNOWRULES,How many members know about the forest association rules,60,,B2,U7,,,
524,6,,,,ASSOC,ARULEEASY,Rules are easy to understand,61,,B3a,U7,,,
525,6,,,,ASSOC,ARULECLEAR,Rules are clear,4,,B3b,U7,,,
526,6,,,,ASSOC,ARULEFLEX,Rules are flexible dealing with unusual problems,4,,B3c,O1,,,
527,6,,,,ASSOC,ARULEFAIR,Rules are perceived as fair,4,,B3d,O1,,,
528,6,,,,ASSOC,ARULELEGIT,Rules are perceived as legitimate,4,,B3e,O1,,,
529,6,,,,ASSOC,AGOVTYPE,General representative Body (GRB) or Executive Committee (EC),62,,C1,U5,,,
530,6,,,,ASSOC,AFEMALE,How many females comprise the exec committee,,,C1a,U5,,,
531,6,,,,ASSOC,AMALE,How many males comprise the exec committee,,,C1a,U5,,,
532,6,,,,ASSOC,AFEMMEM,"Women members in the past of GRB, or EC",63,,C1b,U5,,,
533,6,,,,ASSOC,AFEMLEAD,"Women leader in the past of GRB, or EC",63,,C1c,U5,,,
534,6,,,,ASSOC,ASELECT,How most members of GRB or EC are selected,64,,C2,U5,,,
535,6,,,,ASSOC,AMEET,Frequency of GRB or EC meetings,65,,C3,U5,,,
536,6,,,,ASSOC,APRES,Period of presidents term of office,66,,C4,U5,,,
537,6,,,,ASSOC,AVICE,Period of vice pres term of office,66,,C4,U5,,,
538,6,,,,ASSOC,ASEC,Period of secretary term of office,66,,C4,U5,,,
539,6,,,,ASSOC,ATREAS,Period of treasurer term of office,66,,C4,U5,,,
540,6,,,,ASSOC,AMEMB,Period of most members term of office,66,,C4,U5,,,
541,6,,,,ASSOC,APRESTERM,"If president serves fixed period time, record number years",,,C4a,U5,,,
542,6,,,,ASSOC,AVPTERM,Number of years next most important official serves,,,C4a1,U5,,,
543,6,,,,ASSOC,ADIFFLEAD,Number of different individuals who have led in past,,,C5,U5,,,
544,6,,,,ASSOC,APRESNAMES,List individual's names who have led in past,,,C5a,U5,,,
545,6,,,,ASSOC,AUSERMEM,"Has a forest user held position on GRB, or EC",67,,C6,U5,,,
546,6,,,,ASSOC,ACOMPETE,In the past decade has there been competition for position on GRB or EC,68,,C7,U5,,,
547,6,,,,ASSOC,AREMOVEUSE,"Can users remove members of the GRB, or EC",4,,C8,U5,,,
548,6,,,,ASSOC,AREMOVEEXT,"Can external authority remove members of the GRB, or EC",69,,C9,GS5,,,
549,6,,,,ASSOC,APAIDMEMB,How are most members of GRB or EC paid,70,,C10,GS2,,,
550,,,549,Some other means (describe below),ASSOC,APAIDMOTH,"If other funds, describe",,,C10,,,,
551,6,,,,ASSOC,AOWNASSET,Do GRB or EC members own assets utilizing forest products,71,,C11,U8,GS2,,
552,6,,,,ASSOC,ARESIDE,Do most members of the GRB or EC reside near forest,72,,C12,GS2,,,
553,6,,,,ASSOC,AEDULEVEL,Average educational level of GRB or EC members,73,,C13,U2,,,
554,6,,,,ASSOC,AETHNIC,Is GRB or EC members composed of same ethnic group,11,,C14,U2,,,
555,,,554,,ASSOC,AETHNICCAT,List ethnicity of most members,,,C14a,,,,
556,6,,,,ASSOC,ARELIG,Is GRB or EC members composed of same religion,11,,C15,U2,,,
557,,,556,,ASSOC,ARELIGTYPE,List religion of most members,,,C15a,,,,
558,6,,,,ASSOC,ACASTE,Is GRB or EC members composed of same caste,11,,C16,U2,,,
559,,,558,,ASSOC,ACASTETYPE,List caste of most members,,,C16a,,,,
560,6,,,,ASSOC,ALEADER,Do any GRB or EC members hold other positions,4,,C17,GS3,,,
561,,,560,,ASSOC,ALEADERPOS,List positions held by GRB or EC members,,,C17a,,,,
562,6,,,,ASSOC,AMEETALL,Are general meetings held,4,,C18,I2,,,
563,6,,,,ASSOC,AMEETFREQ,Frequency of general meetings,74,,C18a,I2,,,
564,6,,,,ASSOC,AMEMATTEND,Are these meetings well attended,75,,C18b,I2,,,
565,6,,,,ASSOC,ADECDESC,Describe decisions made in general membership meetings,,,C18c,I3,,,
566,6,,,,ASSOC,ACALLMEET,Can member of the association call a general meeting,4,,C19,I3,,,
567,,,566,Yes,ASSOC,ACALLMEET5,Has a special meeting occurred in the last 5 yrs,4,,C19a,,,,
568,6,,,,ASSOC,ARULESUG,Has GRB or EC changed rules as result of member suggestions,4,,C20,I3,,,
569,,,568,Yes,ASSOC,ARULEDESC,"If yes, describe an example of a change in rules",,,C20a,,,,
570,6,,,,ASSOC,AALLOCSUG,Has GRB or EC changed allocation as result of member suggestions,4,,C21,I3,,,
571,,,570,Yes,ASSOC,AALLOCDESC,"If yes, describe an example of a change in allocation",,,C21a,,,,
572,6,,,,ASSOC,ARECMAINT,Are records of any kind maintained by assoc,4,,D1,I2,,,
573,6,,,,ASSOC,AIDENTITY_,Records kept about the identity of office bearers,76,,D1a,I2,,,
574,6,,,,ASSOC,ARESOLUTE_,Records kept of meetings and resolutions,76,,D1a,I2,,,
575,6,,,,ASSOC,AFINANCE_,Records kept of income and expenditures,76,,D1a,I2,,,
576,6,,,,ASSOC,ACONTRIB_,Records kept of contributions in kind or cash,76,,D1a,I2,,,
577,6,,,,ASSOC,AMONITOR_,Records kept of monitoring forest conditions,76,,D1a,I2,,,
578,6,,,,ASSOC,AAMOUNT_,Records kept of amount of products harvested,76,,D1a,I2,,,
579,6,,,,ASSOC,ADISTRIB_,Records kept about distribution of products,76,,D1a,I2,,,
580,6,,,,ASSOC,APUNISH_,Records kept about punishment for rule breaking,76,,D1a,I2,,,
581,6,,,,ASSOC,ACONFLICT_,Records kept about conflicts,76,,D1a,I2,,,
582,6,,,,ASSOC,ARESOLVED_,Records kept about conflict resolution,76,,D1a,I2,,,
583,6,,,,ASSOC,ABREAK_,Records kept about different rule infractions,76,,D1a,I2,,,
584,6,,,,ASSOC,APUNTYPE_,Records kept about types of punishments,76,,D1a,I2,,,
585,6,,,,ASSOC,AOTHREC_,Other types of records,76,,D1a,I2,,,
586,6,,,,ASSOC,ARECOTH,List other records kept,,,D1a,I2,,,
587,6,,,,ASSOC,AEXAMINE,Are records available for examination,77,,D1b,I2,,,
588,6,,,,ASSOC,AAUDIT,Are records audited,4,,D2,I2,,,
589,6,,,,ASSOC,ASUPER,Are assoc activities supervised by higher org,78,,D3,GS3,,,
590,,,589,Yes- other (describe),ASSOC,ASUPEROTH,If other was chosen above please describe,,,D3,,,,
591,,6,,,ASSOC,AFULL,Number of individuals who work full time,,,E1,,,,
592,,6,,,ASSOC,APART,Number of individuals who work part time,,,E1,,,,
593,,6,,,ASSOC,AVOL,Number of individuals who work voluntarily,,,E1,,,,
594,,6,,,ASSOC,AEMPFULL,Describe activites of full time employees,,,E2,,,,
595,,6,,,ASSOC,AEMPPART,Describe activites of part time employees,,,E3,,,,
596,6,,,,ASSOC,APAIDGARD_,How are guards paid,79,,E4,GS8,,,
597,,,596,Other (describe),ASSOC,APAIDGOTH,"If other selected above, describe",,,E4,,,,
598,6,,,,ASSOC,ASELGUARD,How are guards selected,80,,E5,GS8,,,
599,6,,,,ASSOC,ASEAS1NUM,How many guards are on duty in season 1,,,E6,GS8,,,
600,,,599,,ASSOC,ASEAS1NAME,Name of season 1,,,E6,,,,
601,6,,,,ASSOC,ASEAS2NUM,How many guards are on duty in season 2,,,E6,GS8,,,
602,,,601,,ASSOC,ASEAS2NAME,What is the season 2's name,,,E6,,,,
603,6,,,,ASSOC,ASEAS3NUM,How many guards are on duty in season 3,,,E6,GS8,,,
604,,,603,,ASSOC,ASEAS3NAME,What is the season 3's name,,,E6,,,,
605,6,,,,ASSOC,ASEAS4NUM,How many guards are on duty in season 4,,,E6,GS8,,,
606,,,605,,ASSOC,ASEAS4NAME,What is the season 4's name,,,E6,,,,
607,6,,,,ASSOC,ASEASOTHNUM,How many guards are on duty in the other season,,,E6,GS8,,,
608,,,607,,ASSOC,ASEASOTHNAME,What is the other season's name,,,E6,,,,
609,6,,,,ASSOC,ASRCE1_,What were the major financial sources during the most recent year?,81,,F1,I5,RS5,,
610,,,609,13. Other (describe),ASSOC,ASRC1OTH,Other sources,,,F1,,,,
611,6,,,,ASSOC,ASRC1MOST,Type the number of the single most important financial source from F1 above,,,F1a,I5,RS5,,
612,,,609,,ASSOC,ABUDGET,List the total financial budget for the most recent year data is available,,,F1b,,,,
613,6,,,,ASSOC,ASRC1PRCNT,What percentage of total the financial budget is the most important source?,,,F1c,I5,RS5,RU4,
614,,,613,,ASSOC,ASRC1YEAR,"List the ""most recent year"" for which this data is available",,,F1d,,,,
615,6,,,,ASSOC,ALABOR1,How many person-days of labor were contributed in the above year?,,,F1e,I5,,,
616,6,,,,ASSOC,ASRCE5,"Over the past five years, what is the most important financial source?",82,,F2,I5,RS5,,
617,,,616,Other (describe),ASSOC,ASRC5OTH,Other Sources,,,F2,,,,
618,6,,,,ASSOC,ASRC5AMT,What is the average amount of the most important source in the past five years?,,,F2a,I5,RS5,,
619,6,,,,ASSOC,ALABOR5,How many person-days of labor were contributed in the past five years?,,,F2b,I5,,,
620,6,,,,ASSOC,ASUPPORT,Could the association support all its expenditures without any help?,83,,F3,GS2,,,
621,6,,,,ASSOC,ASPENDMOST,What is the largest item on which the association spends its income?,84,,F4,GS2,,,
622,,,621,Other (describe),ASSOC,ASPENDOTH,Other Items,,,F4,,,,
623,6,,,,ASSOC,ASPECPURP,Is any of the income to be used only for specific purposes?,4,,F5,GS5,,,
624,6,,,,ASSOC,AEXTSPEND,Does any other organization determine how the assoc spends or earns income?,4,,F6,GS5,,,
625,6,,,,ASSOC,AWRITTEN,Does the assoc have a written statement of its mission and objectives?,4,,G1,GS7,,,
626,6,,,,ASSOC,AWRITDESC,"If yes, describe the process for formation of the statement of mission",,,G1a,GS7,,,
627,6,,,,ASSOC,AWRITWHO,"If G1 is yes, who created or wrote the statement?",85,,G1b,GS7,,,
628,,,627,Other (describe),ASSOC,AWRITOTH,Other Creator or Writer,,,G1b,,,,
629,6,,,,ASSOC,AORIGRULE,Are the rules based on an original set provided by a government agency?,86,,G1c,GS7,,,
630,6,,,,ASSOC,AWRITUSER,Do users or officials have the power to change the statement of mission?,87,,G1d,GS7,I3,,
